patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,911854311205,26/06/1954,0385753042,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tim mạch,9.73,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,696431621847,27/08/1948,0756465375,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tim mạch,4.69,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Phúc Phú Đặng,196664936328,03/01/1964,0340072027,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Khỏe mạnh,7.82,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quý ông Bảo Lê,142145332373,18/07/1971,0825121006,johnmai@example.net,"6 Phạm Hẻm
JohnThành phố, 214975",Khỏe mạnh,9.74,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Bác Tùng Nguyễn,164341132421,31/01/1951,0530285792,jane14@example.com,"4 John Khu
Quận JaneQuận, 665579",Khỏe mạnh,6.35,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,169542706713,10/04/1968,0547675602,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Huyết áp cao,9.66,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,719309827838,10/05/1938,0563775808,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tim mạch,11.82,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,291593133916,12/11/1942,0342809665,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Tiểu đường,11.82,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Chị Hồng Dương,424301304868,02/01/2001,0947953670,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,4.29,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,072339228465,13/10/1960,0765929182,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Khỏe mạnh,7.31,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,812849967249,06/02/1949,0344083969,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tim mạch,7.51,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,720567815984,25/12/2001,0713484713,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Khỏe mạnh,9.46,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,718761731622,31/01/1964,0884762306,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,8.0,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,196748026807,07/10/1965,0779918652,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Huyết áp cao,8.44,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,642027344482,21/08/1994,0728418181,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Huyết áp cao,10.21,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,097872392188,08/08/1961,0928455283,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Huyết áp cao,7.16,Anh Minh Dương,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Cô Hạnh Mai,526637871606,10/02/1981,0945368042,phamjane@example.org,"037 Jane Số
Thị xã JaneThị xã, 355836",Tim mạch,8.33,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,643946704309,04/01/1952,0986045798,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,9.45,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,161893876890,29/05/1967,0727460713,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Tim mạch,10.5,Quý cô Hồng Hoàng,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,096252741372,19/02/1976,0384650404,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tiểu đường,4.68,Nhật Xuân Dương,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Xuân Bùi,946165825047,08/03/1939,0948256510,buijohn@example.com,"53 Đặng Tổ
JaneThị xã, 364525",Tim mạch,6.76,Nhật Nguyễn,26/05/2026
